jd_tdb,calendar,x_jpl_km,y_jpl_km,z_jpl_km,vx_jpl_kms,vy_jpl_kms,vz_jpl_kms,x_num_km,y_num_km,z_num_km,vx_num_kms,vy_num_kms,vz_num_kms,err_r_abs_km,err_r_rel,err_v_abs_kms,err_v_rel,err_rho_abs_km,err_rho_rel
2461041.5,A.D. 2026-Jan-01 00:00:00.0000,-26070384.80622956,144778676.17286268,-8507.044686876237,-29.801134169337956,-5.391156778582276,0.00047852753261512504,-26070384.80622956,144778676.17286268,-8507.044686876237,-29.801134169337956,-5.391156778582276,0.00047852753261512504,0.0,0.0,0.0,0.0,0.0,0.0
2461042.5,A.D. 2026-Jan-02 00:00:00.0000,-28641012.93102456,144290377.61715302,-8464.372983701527,-29.70260271699131,-5.9117604521390525,0.0005092191725863949,-28641012.99237579,144290377.12332436,-8464.378372624275,-29.70259877392658,-5.911770881406465,0.0005090931087152978,0.49765425144544473,3.3829757291198422e-09,1.1150482963601608e-05,3.6818254009278066e-07,0.4724332392215729,3.2115272345689084e-09
2461043.5,A.D. 2026-Jan-03 00:00:00.0000,-31202728.259179797,143757176.54104215,-8419.05595830828,-29.594824967154373,-6.4305386498173,0.0005397599619585415,-31202728.039488416,143757174.64652166,-8419.077928478924,-29.594817059151328,-6.430559545843632,0.0005395010940206126,1.9073423613527543,1.2965900186760974e-08,2.234384571323371e-05,7.377761308950709e-07,1.898009181022644,1.2902454270056528e-08
2461044.5,A.D. 2026-Jan-04 00:00:00.0000,-33754733.39282927,143179237.99765134,-8371.107131130995,-29.47783578132504,-6.947321760291108,0.0005701386465615244,-33754732.54739623,143179233.79171935,-8371.157400219909,-29.477823879312187,-6.947353175988819,0.0005697415459333674,4.290355221266398,2.9165395580951675e-08,3.3597048405360866e-05,1.1093464260906372e-06,4.287699729204178,2.9147343817761338e-08
2461045.5,A.D. 2026-Jan-05 00:00:00.0000,-36296234.08858722,142556741.66467005,-8320.540986306965,-29.35167331568907,-7.461940875647248,0.0006003442184554509,-36296232.26993676,142556734.23127818,-8320.631690127255,-29.3516573870628,-7.461982882015534,0.0005998045813499976,7.653171325470665,5.2025276876800524e-08,4.492824634448286e-05,1.4834985949414e-06,7.652293026447296,5.201930631271301e-08
2461046.5,A.D. 2026-Jan-06 00:00:00.0000,-38826439.54150123,141889881.78036276,-8267.3729397282,-29.21637900462134,-7.974227865801201,0.0006303661456579236,-38826436.399260946,141889870.19659162,-8267.516551661967,-29.21635901753787,-7.974280550903185,0.0006296803808004577,12.003251734896503,8.159583063829597e-08,5.635311659683989e-05,1.8607560563686646e-06,12.002355188131332,8.15897360832849e-08
2461047.5,A.D. 2026-Jan-07 00:00:00.0000,-41344562.66755093,141178867.07318118,-8211.619292259216,-29.071997543500885,-8.484015451957251,0.0006601944835540329,-41344557.84869123,141178850.4079288,-8211.828583790466,-29.07197347073796,-8.484078916748894,0.0006593591925536309,17.349231938572686,1.179351167850045e-07,6.78820698282789e-05,2.241468435892006e-06,17.34785705804825,1.1792577074041942e-07
2461048.5,A.D. 2026-Jan-08 00:00:00.0000,-43849820.38462405,140423920.68509656,-8153.29717873782,-28.918576870595054,-8.99113727844506,0.0006898198589762039,-43849813.533982486,140423897.99822298,-8153.585224955923,-28.918548692184853,-8.991211630613247,0.0006888313366858203,23.700390155373317,1.6110535141043541e-07,7.951883356766551e-05,2.625764790903133e-06,23.697573482990265,1.610862048482436e-07
2461049.5,A.D. 2026-Jan-09 00:00:00.0000,-46341433.89187391,139625280.0888054,-8092.424523107708,-28.756168147643713,-9.495427982692707,0.000719233352286075,-46341424.652837776,139625250.43084672,-8092.804746699743,-28.75613585186225,-9.495513329849972,0.0007180872091094139,31.066040496530338,2.1116877895376984e-07,9.126044267741388e-05,3.013553283596322e-06,31.0583958029747,2.1111681479683779e-07
2461050.5,A.D. 2026-Jan-10 00:00:00.0000,-48818628.94733059,138783196.9989674,-8029.02000670135,-28.58482573879715,-9.996723263430036,0.0007484263190717932,-48818616.962530866,138783159.41142157,-8029.506246936837,-28.584789321457976,-9.996819706870076,0.000747117285558859,39.45498012067419,2.681839119654454e-07,0.00010309836704783475,3.404558390606561e-06,39.43469423055649,2.680460244452179e-07
